,smiles,CircularFingerprint
44,C=CC1OCC2(CO1)COC(C=C)OC2,[0. 0. 0. ... 0. 0. 0.]
45,C=CCC#N,[0. 0. 0. ... 0. 0. 0.]
46,C=CCc1ccc2c(c1)OCO2,[0. 0. 0. ... 0. 0. 0.]
47,C=CCc1cccc(CC=C)c1OCC1CO1,[0. 0. 0. ... 0. 0. 0.]
48,C=CCC1CC(=O)OC1=O,[0. 0. 0. ... 0. 0. 0.]
49,C=CCCC=O,[0. 0. 0. ... 0. 0. 0.]
50,C=CCN(CC=C)CC=C,[0. 0. 0. ... 0. 0. 0.]
51,C=CCN(CC=C)N=O,[0. 0. 0. ... 0. 0. 0.]
52,C=CCN=C=S,[0. 0. 0. ... 0. 0. 0.]
53,C=CCNCC=C,[0. 0. 0. ... 0. 0. 0.]
54,C=CCOC(=O)C=CC(=O)OCC=C,[0. 0. 0. ... 0. 0. 0.]
55,C=CCOC(=O)c1ccccc1C(=O)OCC=C,[0. 0. 0. ... 0. 0. 0.]
56,C=CCOC(=O)Cc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
57,C=CCOC(=O)CC1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
58,C=CCOC(=O)CCC1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
59,C=CCOC(OCC=C)C(OCC=C)OCC=C,[0. 1. 0. ... 0. 0. 0.]
60,C=CCOC=C,[0. 0. 0. ... 0. 0. 0.]
61,C=CCOC=O,[0. 0. 0. ... 0. 0. 0.]
62,C=CCOc1ccccc1C(=O)NC1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
63,C=CCOC1CC2CC1CC2OCC=C,[0. 0. 0. ... 0. 0. 0.]
64,C=CCOCC=C,[0. 0. 0. ... 0. 0. 0.]
65,C=CCOCCC#N,[0. 0. 0. ... 0. 0. 0.]
66,C=CN1CC1,[0. 0. 0. ... 0. 0. 0.]
67,C=CN1CCCC1=O,[0. 0. 0. ... 0. 0. 0.]
68,C=COC(=O)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
69,C=COC=O,[0. 0. 0. ... 0. 0. 0.]
70,C=COCCOCCOC=C,[0. 0. 0. ... 0. 0. 0.]
71,C=CS(=O)(=O)C=C,[0. 0. 0. ... 0. 0. 0.]
72,C=O,[0. 0. 0. ... 0. 0. 0.]
73,c1cc(-c2ccncc2)ccn1,[0. 0. 0. ... 0. 0. 0.]
74,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,[0. 1. 0. ... 0. 0. 0.]
75,c1ccc(-c2ccccc2)cc1,[0. 0. 0. ... 0. 0. 0.]
76,c1ccc(N=Nc2ccccc2)cc1,[0. 0. 0. ... 0. 0. 0.]
77,c1ccc(P(c2ccccc2)c2ccccc2)cc1,[0. 0. 0. ... 0. 0. 0.]
78,c1ccc(-c2ccccn2)nc1,[0. 0. 0. ... 0. 0. 0.]
79,c1ccc2cnccc2c1,[0. 0. 0. ... 0. 0. 0.]
80,c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
81,c1ccncc1,[0. 0. 0. ... 0. 0. 0.]
82,c1ccc2c(c1)-c1cccc3cccc-2c13,[0. 0. 0. ... 0. 0. 0.]
83,c1ccc2ncccc2c1,[0. 0. 0. ... 0. 0. 0.]
84,c1cc2ccc3cccc4ccc(c1)c2c34,[0. 0. 0. ... 0. 0. 0.]
85,c1ccc2ccccc2c1,[0. 0. 0. ... 0. 0. 0.]
86,C1=CC=CCC=C1,[0. 0. 0. ... 0. 0. 0.]
87,C1=CC2C3C=CC(C3)C2C1,[0. 0. 0. ... 0. 0. 0.]
88,C1=CCC2CC=CC2C1,[0. 0. 0. ... 0. 0. 0.]
89,C1=CC2C=CC1C2,[0. 0. 0. ... 0. 0. 0.]
90,C1C2CC3OC3C2CC2OC12,[0. 0. 0. ... 0. 0. 0.]
91,C1C2OC2C2C1C1CC2C2OC12,[0. 0. 0. ... 0. 0. 0.]
92,C1=CCC(C2CC3C=CC2C3)CC1,[0. 0. 0. ... 0. 0. 0.]
93,C1=CCCC1,[0. 0. 0. ... 0. 0. 0.]
94,C1CC2CC1C1SSSC21,[0. 0. 0. ... 0. 0. 1.]
95,C1CC2CC1CC2CNCC1CC2CCC1C2,[0. 0. 0. ... 0. 0. 1.]
96,C1CC2OC2C1OC1CCC2OC12,[0. 0. 0. ... 0. 0. 0.]
97,C1CC2OC2CC1C1CO1,[0. 0. 0. ... 0. 0. 1.]
98,C1CCC(OC2CCCC2)C1,[0. 0. 0. ... 0. 0. 0.]
99,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,[0. 0. 1. ... 0. 0. 0.]
100,C1CCC(NC2CCCCC2)CC1,[0. 0. 1. ... 0. 0. 0.]
101,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,[0. 0. 0. ... 0. 0. 0.]
102,c1ccc2c(c1)CCCC2,[0. 0. 0. ... 0. 0. 0.]
103,C1CCC2CCCCC2C1,[0. 0. 0. ... 0. 0. 0.]
104,C1CCC2OC2C1,[0. 0. 0. ... 0. 0. 0.]
105,C1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
106,C1CCCNCC1,[0. 0. 1. ... 0. 0. 0.]
107,C1CCN2CC3CC(CN4CCCCC34)C2C1,[0. 0. 0. ... 0. 0. 0.]
108,C1CCc2nnnn2CC1,[0. 0. 1. ... 0. 0. 0.]
109,C1CCNCC1,[0. 0. 1. ... 0. 0. 0.]
110,C1CCOC1,[0. 0. 0. ... 0. 0. 0.]
111,c1ccc(N2CCNCC2)cc1,[0. 0. 0. ... 0. 0. 0.]
112,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,[0. 0. 0. ... 0. 0. 0.]
113,c1ccc(N2CCOCC2)cc1,[0. 0. 0. ... 0. 0. 0.]
114,c1ccc2sc(SN3CCOCC3)nc2c1,[0. 0. 0. ... 0. 0. 0.]
115,c1cncc(C2=NCCC2)c1,[0. 0. 0. ... 0. 0. 0.]
116,C1CN1,[0. 0. 0. ... 0. 0. 0.]
117,C1CN1c1nc(N2CC2)nc(N2CC2)n1,[0. 0. 0. ... 0. 0. 0.]
118,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,[0. 0. 0. ... 0. 0. 0.]
119,C1CNCCN1,[0. 0. 0. ... 0. 0. 0.]
120,C1CNCCNC1,[0. 0. 0. ... 0. 0. 0.]
121,C1CO1,[0. 0. 0. ... 0. 0. 0.]
122,C1COC(OCC2CO2)C(OCC2CO2)O1,[0. 0. 0. ... 0. 0. 0.]
123,C1COCCN1,[0. 0. 0. ... 0. 0. 0.]
124,C1COCCOCCOCCO1,[0. 0. 0. ... 0. 0. 0.]
125,C1COCCOCCOCCOCCO1,[0. 0. 0. ... 0. 0. 0.]
126,C1COCCOCCOCCOCCOCCO1,[0. 0. 0. ... 0. 0. 0.]
127,C1COCO1,[0. 0. 0. ... 0. 0. 0.]
128,C1CS1,[0. 0. 0. ... 0. 0. 0.]
129,C1CSCCO1,[0. 0. 0. ... 0. 0. 0.]
130,c1cc2c(cc1C1CO1)O2,[0. 0. 0. ... 0. 0. 0.]
131,c1ccc(C2CO2)cc1,[0. 0. 0. ... 0. 0. 0.]
132,C1OC1C1CO1,[0. 0. 0. ... 0. 0. 0.]
133,c1cc(CC2CO2)cc(CC2CO2)c1,[0. 0. 0. ... 0. 0. 0.]
134,c1ccc(N(CC2CO2)CC2CO2)cc1,[0. 0. 0. ... 0. 0. 0.]
135,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,[0. 0. 0. ... 0. 0. 0.]
136,c1cc(OCC2CO2)cc(OCC2CO2)c1,[0. 0. 0. ... 0. 0. 0.]
137,c1ccc2c(c1)OCO2,[0. 0. 0. ... 0. 0. 0.]
138,CBr,[0. 0. 0. ... 0. 0. 0.]
139,CC#N,[0. 0. 0. ... 0. 0. 0.]
140,C=C(C)C#N,[0. 0. 0. ... 0. 0. 0.]
141,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,[0. 0. 0. ... 0. 0. 0.]
142,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,[0. 0. 0. ... 0. 0. 0.]
143,C=CCOC(=O)C(=C)C,[0. 0. 0. ... 0. 0. 0.]
144,C=C(C)C(=O)OCC1CO1,[0. 0. 0. ... 0. 0. 0.]
145,C=C(C)C(=O)OCCCl,[0. 0. 0. ... 0. 0. 0.]
146,C=C(C)C(C)=O,[0. 0. 0. ... 0. 0. 0.]
147,C=C(C)C(OC(C)=O)OC(C)=O,[0. 1. 0. ... 0. 0. 0.]
148,C=C(C)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
149,C=C(C)C1CC=C(C)C(=O)C1,[0. 0. 0. ... 0. 0. 0.]
150,C=C(C)C1CC=C(C)C(O)C1,[0. 0. 0. ... 0. 0. 0.]
151,C=C(C)C1CC=C(C)CC1,[0. 0. 0. ... 0. 0. 0.]
152,C=C(C)C1CC=C(CO)CC1,[0. 0. 0. ... 0. 0. 0.]
153,C=C(C)CC#N,[0. 0. 0. ... 0. 0. 0.]
154,C=C(C)OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
155,CC(=CC(=O)O)C(=O)O,[0. 0. 0. ... 0. 0. 0.]
156,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
157,CC(=O)C(C)(C)C,[0. 0. 0. ... 0. 0. 0.]
158,CC(=O)C(C)=O,[0. 0. 0. ... 0. 0. 0.]
159,C=CC(C)=O,[0. 0. 0. ... 0. 0. 0.]
160,CC(=O)C=CC1=C(C)CCCC1(C)C,[0. 0. 0. ... 0. 0. 0.]
161,CC(=O)C=CC1C(C)=CCCC1(C)C,[0. 0. 0. ... 0. 0. 0.]
162,CC(=O)C=O,[0. 0. 0. ... 0. 0. 0.]
163,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,[0. 0. 0. ... 0. 0. 0.]
164,CC(=O)c1cccc2ccccc12,[0. 0. 0. ... 0. 0. 0.]
165,CC(=O)c1ccc(C)cc1,[0. 0. 0. ... 0. 0. 0.]
166,CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,[0. 1. 0. ... 0. 0. 0.]
167,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,[0. 0. 1. ... 0. 0. 0.]
168,CC(=O)c1ccc(N)cc1,[0. 0. 0. ... 0. 0. 0.]
169,CC(=O)c1ccc(O)cc1O,[0. 0. 0. ... 0. 0. 0.]
170,CC(=O)c1cccc([N+](=O)[O-])c1,[0. 0. 0. ... 0. 0. 0.]
171,CC(=O)c1cccc(N)c1,[0. 0. 0. ... 0. 0. 0.]
172,CC(=O)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
173,CC(=O)c1ccccc1Cl,[0. 0. 0. ... 0. 0. 0.]
174,CC(=O)c1ccccc1[N+](=O)[O-],[0. 0. 0. ... 0. 0. 0.]
175,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,[0. 0. 0. ... 0. 0. 0.]
176,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,[0. 0. 0. ... 0. 0. 0.]
177,CC(=O)C1C(=O)C=C(C)OC1=O,[0. 0. 0. ... 0. 0. 0.]
178,CC(=O)C1OC1(C)C,[0. 0. 0. ... 0. 0. 0.]
179,CC(=O)CC(=O)Nc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
180,C=CC(=O)NC(C)(C)CC(C)=O,[0. 0. 0. ... 0. 0. 0.]
181,CC(=O)CC(C)(C)O,[0. 0. 0. ... 0. 0. 0.]
182,CC(=O)CC(C)=O,[0. 0. 0. ... 0. 0. 0.]
183,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,[0. 1. 0. ... 0. 0. 0.]
184,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,[0. 1. 0. ... 0. 0. 0.]
185,CC(=O)CCC(C)=O,[0. 0. 0. ... 0. 0. 0.]
186,CC(=O)CCC(=O)O,[0. 0. 0. ... 0. 0. 0.]
187,CC(=O)CCc1ccc(O)cc1,[0. 0. 0. ... 0. 0. 0.]
188,CC(=O)CCc1ccc(OC(C)=O)cc1,[0. 0. 0. ... 0. 0. 0.]
189,CC(=O)CCc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
190,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,[0. 0. 0. ... 0. 0. 0.]
191,CC(=O)CCl,[0. 0. 0. ... 0. 0. 0.]
192,CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
193,CC(=O)CO,[0. 0. 0. ... 0. 0. 0.]
194,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,[0. 0. 0. ... 0. 0. 0.]
195,CC(=O)N1CCOCC1,[0. 0. 0. ... 0. 0. 0.]
196,CC(=O)NC(=O)C(Cl)(Cl)Cl,[0. 0. 0. ... 0. 0. 0.]
197,CC(=O)NC(=O)c1ccccc1O,[0. 0. 0. ... 0. 0. 0.]
198,CC(=O)NC(CS)C(=O)O,[0. 1. 0. ... 0. 0. 0.]
199,CC(=O)NC(N)=S,[0. 0. 0. ... 0. 0. 0.]
200,CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,[0. 0. 0. ... 0. 0. 0.]
201,CC(=O)Nc1ccc(C(=O)CCl)cc1,[0. 0. 0. ... 0. 0. 0.]
202,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,[0. 0. 0. ... 0. 0. 0.]
203,CC(=O)Nc1ccc(O)cc1,[0. 0. 0. ... 0. 0. 0.]
204,CC(=O)Nc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
205,CC(=O)Nc1ccncc1,[0. 0. 0. ... 0. 0. 0.]
206,CC(=O)NNC(=O)c1ccccn1,[0. 0. 0. ... 0. 0. 0.]
207,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
208,C=C(C#N)OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
209,C=CC(=C)CCCC(C)(C)OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
210,CC(=O)OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
211,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,[0. 1. 0. ... 0. 0. 0.]
212,C=C(Cl)C(OC(C)=O)OC(C)=O,[0. 1. 0. ... 0. 0. 0.]
213,CC(=O)OC(OC(C)=O)C(Cl)CCl,[0. 1. 0. ... 0. 0. 0.]
214,C=CC(OC(C)=O)OC(C)=O,[0. 1. 0. ... 0. 0. 0.]
215,C=COC(C)=O,[0. 0. 0. ... 0. 0. 0.]
216,C=CC=COC(C)=O,[0. 0. 0. ... 0. 0. 0.]
217,CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,[0. 0. 0. ... 0. 0. 0.]
218,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],[0. 0. 0. ... 0. 0. 0.]
219,CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,[0. 0. 0. ... 0. 0. 0.]
220,CC(=O)Oc1ccccc1C(N)=O,[0. 0. 0. ... 0. 0. 0.]
221,CC(=O)Oc1ccccc1C=CC(=O)O,[0. 0. 0. ... 0. 0. 0.]
222,CC(=O)Oc1ccc(C)cc1,[0. 0. 0. ... 0. 0. 0.]
223,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,[0. 0. 0. ... 0. 0. 1.]
224,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,[0. 0. 0. ... 0. 0. 0.]
225,CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,[0. 0. 0. ... 0. 0. 0.]
226,CC(=O)Oc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
227,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,[0. 0. 0. ... 0. 0. 0.]
228,CC(=O)OC1CCC(C(C)(C)C)CC1,[0. 0. 0. ... 0. 0. 0.]
229,CC(=O)OC1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
230,CC(=O)OCC#N,[0. 0. 0. ... 0. 0. 0.]
231,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,[0. 0. 0. ... 0. 0. 0.]
232,CC(=O)OCC(COC(C)=O)OC(C)=O,[0. 1. 0. ... 0. 0. 0.]
233,C=CCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
234,CC(=O)OCC=C(C)C,[0. 0. 0. ... 0. 0. 0.]
235,C=CCOC=CCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
236,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,[0. 0. 0. ... 0. 0. 0.]
237,CC(=O)OCc1ccc2c(c1)OCO2,[0. 0. 0. ... 0. 0. 0.]
238,CC(=O)OCc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
239,CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,[0. 0. 0. ... 0. 0. 0.]
240,CC(=O)OCCc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
241,CC(=O)OCCC1=CCC2CC1C2(C)C,[0. 0. 0. ... 0. 0. 0.]
242,CC(=O)OCCC1CCCCC1,[0. 0. 1. ... 0. 0. 0.]
243,CC(=O)OCCN(CCOC(C)=O)N=O,[0. 0. 0. ... 0. 0. 0.]
244,CC(=O)OCCO,[0. 0. 0. ... 0. 0. 0.]
245,CC(=O)OCCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
246,CC(=O)OCCOCCOCCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
247,CC(=O)OCCS(=O)(=O)CCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
248,CC(=O)OCCSCCOC(C)=O,[0. 0. 0. ... 0. 0. 0.]
249,CC(=O)OO,[0. 0. 0. ... 0. 0. 0.]
250,CC(=S)Nc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
251,CC(Br)(CCl)CBr,[0. 0. 0. ... 0. 0. 0.]
252,CC(Br)CBr,[0. 1. 0. ... 0. 0. 0.]
253,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,[0. 1. 0. ... 0. 0. 0.]
254,CC(C#N)N1CCOCC1,[0. 1. 0. ... 0. 0. 0.]
255,CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],[0. 1. 0. ... 0. 0. 0.]
256,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,[0. 1. 0. ... 0. 0. 0.]
257,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,[0. 1. 0. ... 0. 0. 0.]
258,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,[0. 1. 0. ... 0. 0. 0.]
259,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,[0. 1. 0. ... 0. 0. 0.]
260,CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,[0. 1. 0. ... 0. 0. 0.]
261,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,[0. 1. 0. ... 0. 0. 0.]
262,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,[0. 1. 0. ... 0. 0. 0.]
263,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,[0. 1. 0. ... 0. 0. 0.]
264,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,[0. 1. 0. ... 0. 0. 0.]
265,CC(C)(C#N)C(C)(C)C#N,[0. 0. 0. ... 0. 0. 0.]
266,CC(C)(C(=O)c1cccnc1)c1cccnc1,[0. 0. 0. ... 0. 0. 0.]
267,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,[0. 1. 0. ... 0. 0. 0.]
268,CC(C)(C)C(=O)O,[0. 0. 0. ... 0. 0. 0.]
269,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,[0. 1. 0. ... 0. 0. 0.]
270,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,[0. 0. 0. ... 0. 0. 0.]
271,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,[0. 0. 0. ... 0. 0. 0.]
272,CC(C)(C)c1ccc(O)c(O)c1,[0. 0. 0. ... 0. 0. 0.]
273,CC(C)(C)c1ccc(C(=O)O)cc1,[0. 0. 0. ... 0. 0. 0.]
274,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,[0. 1. 0. ... 0. 0. 0.]
275,CC(C)(C)c1ccc(O)cc1,[0. 0. 0. ... 0. 0. 0.]
276,CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,[0. 0. 0. ... 0. 0. 0.]
277,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,[0. 0. 0. ... 0. 0. 0.]
278,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,[0. 1. 0. ... 0. 0. 0.]
279,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,[0. 0. 0. ... 0. 0. 0.]
280,CC(C)(C)C1CCC(=O)CC1,[0. 0. 0. ... 0. 0. 0.]
281,CC(C)(C)CC1(C)CO1,[0. 0. 0. ... 0. 0. 0.]
282,CC(C)(C)N,[0. 0. 0. ... 0. 0. 0.]
283,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,[0. 1. 0. ... 0. 0. 0.]
284,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,[0. 1. 0. ... 0. 0. 0.]
285,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,[0. 1. 0. ... 0. 0. 0.]
286,CC(C)(C)O,[0. 0. 0. ... 0. 0. 0.]
287,CC(C)(C)OOC(=O)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
288,CC(C)(C)S,[0. 0. 0. ... 0. 0. 0.]
289,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,[0. 0. 0. ... 0. 0. 0.]
290,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,[0. 0. 0. ... 0. 0. 0.]
291,CC(C)(CO)C(O)C#N,[0. 1. 0. ... 0. 0. 0.]
292,C=CC(=O)OCC(C)(C)COC(=O)C=C,[0. 0. 0. ... 0. 0. 0.]
293,CC(C)(COC(N)=O)COC(N)=O,[0. 0. 0. ... 0. 0. 0.]
294,CC1(N)CCC(C(C)(C)N)CC1,[0. 0. 0. ... 0. 0. 0.]
295,CC(C)(N)Cc1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
296,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,[0. 0. 0. ... 0. 0. 0.]
297,C#CC(C)(C)O,[0. 0. 0. ... 0. 0. 0.]
298,C=CC#CC(C)(C)O,[0. 0. 0. ... 0. 0. 0.]
299,CC(C)(O)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
300,CC(C)(O)CC(C)(O)c1ccc(Cl)cc1,[0. 0. 0. ... 0. 0. 0.]
301,CC(C)(O)Cc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
302,C=CC(=C)CCCC(C)(C)O,[0. 0. 0. ... 0. 0. 0.]
303,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,[0. 0. 0. ... 0. 0. 0.]
