,compound_name,species,smiles,rat_LD50,units,source
144,"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester",Rat,C=C(C)C(=O)OCC1CO1,-2.377,log(mol/kg),https://doi.org/10.1021/tx900189p
145,"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",Rat,C=C(C)C(=O)OCCCl,-2.8710000000000004,log(mol/kg),https://doi.org/10.1021/tx900189p
146,"3-Buten-2-one, 3-methyl-",Rat,C=C(C)C(C)=O,-2.67,log(mol/kg),https://doi.org/10.1021/tx900189p
147,"2-Propene-1,1-diol, 2-methyl-, diacetate",Rat,C=C(C)C(OC(C)=O)OC(C)=O,-2.593,log(mol/kg),https://doi.org/10.1021/tx900189p
148,"Benzene, (1-methylethenyl)-",Rat,C=C(C)c1ccccc1,-1.382,log(mol/kg),https://doi.org/10.1021/tx900189p
149,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5S)-",Rat,C=C(C)C1CC=C(C)C(=O)C1,-4.607,log(mol/kg),https://doi.org/10.1021/tx900189p
150,"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-",Rat,C=C(C)C1CC=C(C)C(O)C1,-1.705,log(mol/kg),https://doi.org/10.1021/tx900189p
151,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (theta)-",Rat,C=C(C)C1CC=C(C)CC1,-1.491,log(mol/kg),https://doi.org/10.1021/tx900189p
152,"1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-",Rat,C=C(C)C1CC=C(CO)CC1,-1.86,log(mol/kg),https://doi.org/10.1021/tx900189p
153,"3-Butenenitrile, 3-methyl-",Rat,C=C(C)CC#N,-2.177,log(mol/kg),https://doi.org/10.1021/tx900189p
154,"1-Propen-2-ol, acetate",Rat,C=C(C)OC(C)=O,-1.523,log(mol/kg),https://doi.org/10.1021/tx900189p
155,"2-Butenedioic acid, 2-methyl-, (Z)- (9CI)",Rat,CC(=CC(=O)O)C(=O)O,-1.994,log(mol/kg),https://doi.org/10.1021/tx900189p
156,"Phosphoramidothioic acid, (1-iminoethyl)-, O,O-bis(4-chlorophenyl) ester",Rat,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,-5.006,log(mol/kg),https://doi.org/10.1021/tx900189p
157,"2-Butanone, 3,3-dimethyl-",Rat,CC(=O)C(C)(C)C,-2.215,log(mol/kg),https://doi.org/10.1021/tx900189p
158,"2,3-Butanedione",Rat,CC(=O)C(C)=O,-1.736,log(mol/kg),https://doi.org/10.1021/tx900189p
159,Methyl vinyl ketone,Rat,C=CC(C)=O,-3.369,log(mol/kg),https://doi.org/10.1021/tx900189p
160,"4-(2,6,6-Trimethylcyclohex-1-ene-1-yl)-but-3-ene-2-one",Rat,CC(=O)C=CC1=C(C)CCCC1(C)C,-1.622,log(mol/kg),https://doi.org/10.1021/tx900189p
161,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",Rat,CC(=O)C=CC1C(C)=CCCC1(C)C,-1.622,log(mol/kg),https://doi.org/10.1021/tx900189p
162,"Propanal, 2-oxo-",Rat,CC(=O)C=O,-1.791,log(mol/kg),https://doi.org/10.1021/tx900189p
163,"9H-Pyrrolo(1',2':2,3)isoindolo(4,5,6-cd)indol-9-one, 10-acetyl-2,6,6a,7,11a,11b-hexahydro-11-hydroxy-7,7-dimethyl-, (6aalpha,11abeta,11balpha)- (8CI)(9CI)",Rat,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,-3.971,log(mol/kg),https://doi.org/10.1021/tx900189p
164,"Ethanone, 1-(1-naphthalenyl)-",Rat,CC(=O)c1cccc2ccccc12,-2.0380000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
165,"Ethanone, 1-(4-methylphenyl)-",Rat,CC(=O)c1ccc(C)cc1,-1.982,log(mol/kg),https://doi.org/10.1021/tx900189p
166,"Acetamide, N-(2-(4-acetylphenyl)-2-hydroxy-1-(hydroxymethyl)ethyl)-2,2-dichloro-, (R-(R*,R*))-",Rat,CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.465,log(mol/kg),https://doi.org/10.1021/tx900189p
167,"Benzenesulfonamide, 4-acetyl-N-((cyclohexylamino)carbonyl)-",Rat,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-1.812,log(mol/kg),https://doi.org/10.1021/tx900189p
168,"Acetophenone, 4'-amino- (8CI)",Rat,CC(=O)c1ccc(N)cc1,-2.55,log(mol/kg),https://doi.org/10.1021/tx900189p
169,"Ethanone, 1-(2,4-dihydroxyphenyl)-",Rat,CC(=O)c1ccc(O)cc1O,-1.73,log(mol/kg),https://doi.org/10.1021/tx900189p
170,"Ethanone, 1-(3-nitrophenyl)-",Rat,CC(=O)c1cccc([N+](=O)[O-])c1,-1.706,log(mol/kg),https://doi.org/10.1021/tx900189p
171,"Ethanone, 1-(3-aminophenyl)-",Rat,CC(=O)c1cccc(N)c1,-1.859,log(mol/kg),https://doi.org/10.1021/tx900189p
172,"Ethanone, 1-phenyl-",Rat,CC(=O)c1ccccc1,-2.169,log(mol/kg),https://doi.org/10.1021/tx900189p
