id,comp_id,compound_name,species,ld50,units,source
90,90,"Bicyclo(2.2.1)hepta-2,5-diene",Rat,2.015,log(kg/mol),https://doi.org/10.1021/tx900189p
91,91,"Indan, 1,2:5,6-diepoxyhexahydro-",Rat,1.852,log(kg/mol),https://doi.org/10.1021/tx900189p
92,92,"4,7-Methanoindan, 3a,4,5,6,7,7a-hexahydro-1,2:5,6-diepoxy-",Rat,2.893,log(kg/mol),https://doi.org/10.1021/tx900189p
93,93,"Bicyclo(2.2.1)hept-5-ene, 2-(4-cyclohexenyl)-",Rat,1.609,log(kg/mol),https://doi.org/10.1021/tx900189p
94,94,Cyclopentene,Rat,1.614,log(kg/mol),https://doi.org/10.1021/tx900189p
95,95,"4,7-Methanobenzotrithiole, hexahydro-",Rat,2.802,log(kg/mol),https://doi.org/10.1021/tx900189p
96,96,"Dimethylamine, 1,1'-di-2-norbornyl-, endo,endo-",Rat,2.219,log(kg/mol),https://doi.org/10.1021/tx900189p
97,97,"6-Oxabicyclo(3.1.0)hexane, 2,2'-oxybis-",Rat,1.93,log(kg/mol),https://doi.org/10.1021/tx900189p
98,98,"7-Oxabicyclo(4.1.0)heptane, 3-(epoxyethyl)-",Rat,1.818,log(kg/mol),https://doi.org/10.1021/tx900189p
99,99,"Ether, dicyclopentyl",Rat,2.516,log(kg/mol),https://doi.org/10.1021/tx900189p
100,100,"1,4-Benzenediamine, N-cyclohexyl-N'-phenyl-",Rat,2.124,log(kg/mol),https://doi.org/10.1021/tx900189p
101,101,"Cyclohexanamine, N-cyclohexyl-",Rat,2.687,log(kg/mol),https://doi.org/10.1021/tx900189p
102,102,"Adenine, N-benzyl-9-(tetrahydro-2H-pyran-2-yl)- (8CI)",Rat,2.276,log(kg/mol),https://doi.org/10.1021/tx900189p
103,103,"Naphthalene, 1,2,3,4-tetrahydro-",Rat,1.665,log(kg/mol),https://doi.org/10.1021/tx900189p
104,104,"Naphthalene, decahydro-",Rat,1.521,log(kg/mol),https://doi.org/10.1021/tx900189p
105,105,7-Oxabicyclo(4.1.0)heptane,Rat,1.954,log(kg/mol),https://doi.org/10.1021/tx900189p
106,106,Cyclohexane,Rat,0.821,log(kg/mol),https://doi.org/10.1021/tx900189p
107,107,"1H-Azepine, hexahydro-",Rat,2.384,log(kg/mol),https://doi.org/10.1021/tx900189p
108,108,"7,14-Methano-2H,6H-dipyrido(1,2-a:1',2'-e)(1,5)diazocine, dodecahydro-, (7S-(7alpha,7aalpha,14alpha,14abeta))-",Rat,2.388,log(kg/mol),https://doi.org/10.1021/tx900189p
109,109,"5H-Tetrazolo(1,5-a)azepine, 6,7,8,9-tetrahydro-",Rat,2.994,log(kg/mol),https://doi.org/10.1021/tx900189p
110,110,Piperidine,Rat,2.328,log(kg/mol),https://doi.org/10.1021/tx900189p
111,111,"Furan, tetrahydro-",Rat,1.408,log(kg/mol),https://doi.org/10.1021/tx900189p
112,112,"Piperazine, 1-phenyl-",Rat,2.888,log(kg/mol),https://doi.org/10.1021/tx900189p
113,113,"Morpholine, 4-(triphenylmethyl)-",Rat,3.599,log(kg/mol),https://doi.org/10.1021/tx900189p
114,114,"Morpholine, 4-phenyl-",Rat,2.244,log(kg/mol),https://doi.org/10.1021/tx900189p
115,115,N-Oxydiethylene-2-benzothiazylsulfenamide,Rat,2.105,log(kg/mol),https://doi.org/10.1021/tx900189p
116,116,"Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)- (9CI)",Rat,1.892,log(kg/mol),https://doi.org/10.1021/tx900189p
117,117,Ethyleneimine,Rat,3.458,log(kg/mol),https://doi.org/10.1021/tx900189p
118,118,"1,3,5-Triazine, 2,4,6-tris(1-aziridinyl)-",Rat,5.31,log(kg/mol),https://doi.org/10.1021/tx900189p
119,119,"10H-Phenothiazine, 10-(1-azabicyclo(2.2.2)oct-3-ylmethyl)- (9CI)",Rat,3.119,log(kg/mol),https://doi.org/10.1021/tx900189p
120,120,Piperazine,Rat,1.656,log(kg/mol),https://doi.org/10.1021/tx900189p
121,121,"1H-1,4-Diazepine, hexahydro-",Rat,1.549,log(kg/mol),https://doi.org/10.1021/tx900189p
122,122,"Ethylene oxide",Rat,2.787,log(kg/mol),https://doi.org/10.1021/tx900189p
123,123,"p-Dioxane, 2,3-bis(2,3-epoxypropoxy)-",Rat,2.337,log(kg/mol),https://doi.org/10.1021/tx900189p
124,124,Morpholine,Rat,1.919,log(kg/mol),https://doi.org/10.1021/tx900189p
125,125,"1,4,7,10-Tetraoxacyclododecane",Rat,1.794,log(kg/mol),https://doi.org/10.1021/tx900189p
126,126,"1,4,7,10,13-Pentaoxacyclopentadecane",Rat,2.194,log(kg/mol),https://doi.org/10.1021/tx900189p
127,127,"1,4,7,10,13,16-Hexanoxacyclooctadecane",Rat,2.279,log(kg/mol),https://doi.org/10.1021/tx900189p
128,128,"1,3-Dioxolane",Rat,1.393,log(kg/mol),https://doi.org/10.1021/tx900189p
129,129,"Ethylene sulfide",Rat,2.529,log(kg/mol),https://doi.org/10.1021/tx900189p
130,130,"1,4-Oxathiane",Rat,1.566,log(kg/mol),https://doi.org/10.1021/tx900189p
131,131,"7-Oxabicyclo(4.1.0)hepta-2,4,6-triene, 3-oxiranyl-",Rat,1.676,log(kg/mol),https://doi.org/10.1021/tx900189p
132,132,"Benzene, (epoxyethyl)-",Rat,1.779,log(kg/mol),https://doi.org/10.1021/tx900189p
133,133,"Butane, 1,2:3,4-diepoxy-",Rat,3.043,log(kg/mol),https://doi.org/10.1021/tx900189p
134,134,"m-Xylene-alpha,alpha'-dioxirane",Rat,1.657,log(kg/mol),https://doi.org/10.1021/tx900189p
135,135,"Oxiranemethanamine, N-(oxiranylmethyl)-N-phenyl-",Rat,2.103,log(kg/mol),https://doi.org/10.1021/tx900189p
136,136,"Oxirane, 2,2'-((2-(oxiranylmethoxy)-1,3-phenylene)bis(methylene))bis-",Rat,2.209,log(kg/mol),https://doi.org/10.1021/tx900189p
137,137,"Oxirane, 2,2'-(1,3-phenylenebis(oxymethylene))bis-",Rat,1.937,log(kg/mol),https://doi.org/10.1021/tx900189p
138,138,"Benzene, 1,2-methylenedioxy-",Rat,2.323,log(kg/mol),https://doi.org/10.1021/tx900189p
139,139,"Methane, bromo-",Rat,2.647,log(kg/mol),https://doi.org/10.1021/tx900189p
140,140,Acetonitrile,Rat,1.177,log(kg/mol),https://doi.org/10.1021/tx900189p
141,141,"2-Propenenitrile, 2-methyl-",Rat,2.747,log(kg/mol),https://doi.org/10.1021/tx900189p
142,142,"2-Propenamide, N-(3,4-dichlorophenyl)-2-methyl- (9CI)",Rat,2.107,log(kg/mol),https://doi.org/10.1021/tx900189p
143,143,"2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane, 1-(hydroxymethyl)-, methacrylate",Rat,1.536,log(kg/mol),https://doi.org/10.1021/tx900189p
144,144,"2-Propenoic acid, 2-methyl-, 2-propenyl ester",Rat,2.467,log(kg/mol),https://doi.org/10.1021/tx900189p
145,145,"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester",Rat,2.377,log(kg/mol),https://doi.org/10.1021/tx900189p
146,146,"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",Rat,2.871,log(kg/mol),https://doi.org/10.1021/tx900189p
147,147,"3-Buten-2-one, 3-methyl-",Rat,2.67,log(kg/mol),https://doi.org/10.1021/tx900189p
148,148,"2-Propene-1,1-diol, 2-methyl-, diacetate",Rat,2.593,log(kg/mol),https://doi.org/10.1021/tx900189p
149,149,"Benzene, (1-methylethenyl)-",Rat,1.382,log(kg/mol),https://doi.org/10.1021/tx900189p
150,150,"2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (5S)-",Rat,4.607,log(kg/mol),https://doi.org/10.1021/tx900189p
151,151,"2-Cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-",Rat,1.705,log(kg/mol),https://doi.org/10.1021/tx900189p
152,152,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (theta)-",Rat,1.491,log(kg/mol),https://doi.org/10.1021/tx900189p
153,153,"1-Cyclohexene-1-methanol, 4-(1-methylethenyl)-",Rat,1.86,log(kg/mol),https://doi.org/10.1021/tx900189p
154,154,"3-Butenenitrile, 3-methyl-",Rat,2.177,log(kg/mol),https://doi.org/10.1021/tx900189p
155,155,"1-Propen-2-ol, acetate",Rat,1.523,log(kg/mol),https://doi.org/10.1021/tx900189p
156,156,"2-Butenedioic acid, 2-methyl-, (Z)- (9CI)",Rat,1.994,log(kg/mol),https://doi.org/10.1021/tx900189p
157,157,"Phosphoramidothioic acid, (1-iminoethyl)-, O,O-bis(4-chlorophenyl) ester",Rat,5.006,log(kg/mol),https://doi.org/10.1021/tx900189p
158,158,"2-Butanone, 3,3-dimethyl-",Rat,2.215,log(kg/mol),https://doi.org/10.1021/tx900189p
159,159,"2,3-Butanedione",Rat,1.736,log(kg/mol),https://doi.org/10.1021/tx900189p
160,160,"Methyl vinyl ketone",Rat,3.369,log(kg/mol),https://doi.org/10.1021/tx900189p
161,161,"4-(2,6,6-Trimethylcyclohex-1-ene-1-yl)-but-3-ene-2-one",Rat,1.622,log(kg/mol),https://doi.org/10.1021/tx900189p
162,162,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-",Rat,1.622,log(kg/mol),https://doi.org/10.1021/tx900189p
163,163,"Propanal, 2-oxo-",Rat,1.791,log(kg/mol),https://doi.org/10.1021/tx900189p
164,164,"9H-Pyrrolo(1',2':2,3)isoindolo(4,5,6-cd)indol-9-one, 10-acetyl-2,6,6a,7,11a,11b-hexahydro-11-hydroxy-7,7-dimethyl-, (6aalpha,11abeta,11balpha)- (8CI)(9CI)",Rat,3.971,log(kg/mol),https://doi.org/10.1021/tx900189p
165,165,"Ethanone, 1-(1-naphthalenyl)-",Rat,2.038,log(kg/mol),https://doi.org/10.1021/tx900189p
166,166,"Ethanone, 1-(4-methylphenyl)-",Rat,1.982,log(kg/mol),https://doi.org/10.1021/tx900189p
167,167,"Acetamide, N-(2-(4-acetylphenyl)-2-hydroxy-1-(hydroxymethyl)ethyl)-2,2-dichloro-, (R-(R*,R*))-",Rat,2.465,log(kg/mol),https://doi.org/10.1021/tx900189p
168,168,"Benzenesulfonamide, 4-acetyl-N-((cyclohexylamino)carbonyl)-",Rat,1.812,log(kg/mol),https://doi.org/10.1021/tx900189p
169,169,"Acetophenone, 4'-amino- (8CI)",Rat,2.55,log(kg/mol),https://doi.org/10.1021/tx900189p
170,170,"Ethanone, 1-(2,4-dihydroxyphenyl)-",Rat,1.73,log(kg/mol),https://doi.org/10.1021/tx900189p
171,171,"Ethanone, 1-(3-nitrophenyl)-",Rat,1.706,log(kg/mol),https://doi.org/10.1021/tx900189p
172,172,"Ethanone, 1-(3-aminophenyl)-",Rat,1.859,log(kg/mol),https://doi.org/10.1021/tx900189p
173,173,"Ethanone, 1-phenyl-",Rat,2.169,log(kg/mol),https://doi.org/10.1021/tx900189p
174,174,"Ethanone, 1-(2-chlorophenyl)-",Rat,1.929,log(kg/mol),https://doi.org/10.1021/tx900189p
175,175,"Ethanone, 1-(2-nitrophenyl)-",Rat,2.014,log(kg/mol),https://doi.org/10.1021/tx900189p
176,176,"Spiro(benzofuran-2(3H),1'-cyclopropan)-3-one, 5-acetyl-",Rat,1.57,log(kg/mol),https://doi.org/10.1021/tx900189p
177,177,"Ethanone, 1-(10-(3-(4-(2-hydroxyethyl)-1-piperidinyl)propyl)-10H-phenothiazin-2-yl)-",Rat,3.022,log(kg/mol),https://doi.org/10.1021/tx900189p
178,178,"2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-",Rat,2.527,log(kg/mol),https://doi.org/10.1021/tx900189p
179,179,"Ethanone, 1-(3,3-dimethyloxiranyl)- (9CI)",Rat,1.851,log(kg/mol),https://doi.org/10.1021/tx900189p
180,180,"Butanamide, 3-oxo-N-phenyl-",Rat,1.581,log(kg/mol),https://doi.org/10.1021/tx900189p
181,181,"2-Propenamide, N-(1,1-dimethyl-3-oxobutyl)-",Rat,1.927,log(kg/mol),https://doi.org/10.1021/tx900189p
182,182,"2-Pentanone, 4-hydroxy-4-methyl-",Rat,1.463,log(kg/mol),https://doi.org/10.1021/tx900189p
183,183,"2,4-Pentanedione",Rat,3.26,log(kg/mol),https://doi.org/10.1021/tx900189p
184,184,"2H-1-Benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-",Rat,2.838,log(kg/mol),https://doi.org/10.1021/tx900189p
185,185,"2H-1-Benzopyran-2-one, 3-(1-(4-chlorophenyl)-3-oxobutyl)-4-hydroxy- (9CI)",Rat,3.263,log(kg/mol),https://doi.org/10.1021/tx900189p
186,186,"2,5-Hexanedione",Rat,1.74,log(kg/mol),https://doi.org/10.1021/tx900189p
187,187,"Pentanoic acid, 4-oxo-",Rat,1.798,log(kg/mol),https://doi.org/10.1021/tx900189p
188,188,"2-Butanone, 4-(4-hydroxyphenyl)-",Rat,2.095,log(kg/mol),https://doi.org/10.1021/tx900189p
189,189,"2-Butanone, 4-(p-hydroxyphenyl)-, acetate",Rat,1.832,log(kg/mol),https://doi.org/10.1021/tx900189p
190,190,"2-Butanone, 4-phenyl-",Rat,1.666,log(kg/mol),https://doi.org/10.1021/tx900189p
191,191,"3,5-Pyrazolidinedione, 1,2-diphenyl-4-(3-oxobutyl)-",Rat,2.651,log(kg/mol),https://doi.org/10.1021/tx900189p
192,192,"2-Propanone, 1-chloro-",Rat,2.966,log(kg/mol),https://doi.org/10.1021/tx900189p
193,193,"2-Propanone, 1-(p-chlorophenyl-tert-butyl)amino-",Rat,2.982,log(kg/mol),https://doi.org/10.1021/tx900189p
194,194,"2-Propanone, 1-hydroxy-",Rat,1.527,log(kg/mol),https://doi.org/10.1021/tx900189p
195,195,"Piperazine, 1-acetyl-4-(4-((2-(2,4-dichlorophenyl)-2-(1H-imidazol-1-ylmethyl)-1,3-dioxolan-4-yl)methoxy)phenyl)-, cis-",Rat,3.505,log(kg/mol),https://doi.org/10.1021/tx900189p
196,196,"Morpholine, 4-acetyl-",Rat,1.324,log(kg/mol),https://doi.org/10.1021/tx900189p
197,197,"Chloral acetamide",Rat,1.819,log(kg/mol),https://doi.org/10.1021/tx900189p
198,198,"Benzamide, N-acetyl-2-hydroxy- (9CI)",Rat,1.952,log(kg/mol),https://doi.org/10.1021/tx900189p
199,199,"Cysteine, N-acetyl-, L-",Rat,1.509,log(kg/mol),https://doi.org/10.1021/tx900189p
200,200,"Acetamide, N-(aminothioxomethyl)-",Rat,3.373,log(kg/mol),https://doi.org/10.1021/tx900189p
201,201,"Toluene-2,4-diamine, N(sup 4)-acetyl-N(sup 2)-trifluoromethylsulfonyl-",Rat,2.06,log(kg/mol),https://doi.org/10.1021/tx900189p
202,202,"Acetamide, N-(4-(chloroacetyl)phenyl)-",Rat,1.993,log(kg/mol),https://doi.org/10.1021/tx900189p
203,203,"Acetamide, N-(4'-amino(1,1'-biphenyl)-4-yl)- (9CI)",Rat,2.142,log(kg/mol),https://doi.org/10.1021/tx900189p
204,204,"Acetamide, N-(4-hydroxyphenyl)-",Rat,1.799,log(kg/mol),https://doi.org/10.1021/tx900189p
205,205,"Acetamide, N-phenyl-",Rat,2.228,log(kg/mol),https://doi.org/10.1021/tx900189p
206,206,"Acetamide, N-4-pyridinyl- (9CI)",Rat,2.485,log(kg/mol),https://doi.org/10.1021/tx900189p
207,207,"2-Pyridinecarboxylic acid, 2-acetylhydrazide (9CI)",Rat,2.425,log(kg/mol),https://doi.org/10.1021/tx900189p
208,208,"Silanetriol, methyl-, triacetate",Rat,2.029,log(kg/mol),https://doi.org/10.1021/tx900189p
209,209,"Acrylonitrile, 2-hydroxy-, acetate (ester) (8CI)",Rat,3.046,log(kg/mol),https://doi.org/10.1021/tx900189p
210,210,"7-Octen-2-ol, 2-methyl-6-methylene-, acetate",Rat,1.494,log(kg/mol),https://doi.org/10.1021/tx900189p
211,211,"Acetic acid, anhydride",Rat,1.759,log(kg/mol),https://doi.org/10.1021/tx900189p
212,212,"Benzyl alcohol, alpha-(trichloromethyl)-, acetate (9CI)",Rat,1.595,log(kg/mol),https://doi.org/10.1021/tx900189p
213,213,"2-Propene-1,1-diol, 2-chloro-, diacetate (8CI)(9CI)",Rat,2.779,log(kg/mol),https://doi.org/10.1021/tx900189p
214,214,"1,1-Propanediol, 2,3-dichloro-, diacetate",Rat,2.855,log(kg/mol),https://doi.org/10.1021/tx900189p
215,215,"2-Propene-1,1-diol, diacetate",Rat,3.655,log(kg/mol),https://doi.org/10.1021/tx900189p
216,216,"Acetic acid ethenyl ester",Rat,1.47,log(kg/mol),https://doi.org/10.1021/tx900189p
217,217,"1,3-Butadien-1-ol, acetate",Rat,2.198,log(kg/mol),https://doi.org/10.1021/tx900189p
218,218,"Salicylanilide, 3,4'-dibromo-5-chlorothio-, acetate (ester)",Rat,2.189,log(kg/mol),https://doi.org/10.1021/tx900189p
