Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL2430802,,0,546.56,2,5.29,COc1ccc(OC)c(/C=C\C(=O)c2ccc(NC(=O)CSc3nnc(-c4cccc([N+](=O)[O-])c4)o3)cc2)c1,MIC,'=',62.5,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL2432759,Antibacterial activity against Escherichia coli ATCC 25922 by micro dilution/broth titre method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL2429864,1,Scientific Literature,Med Chem Res,2013,None,
CHEMBL2414967,,0,597.52,2,1.34,O=C(NCC(=O)N1CCN(c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)CC1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL2416862,Antibacterial activity against Escherichia coli ATCC 25922 after 18 hrs by NCCLS agar dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL2412955,1,Scientific Literature,Eur. J. Med. Chem.,2013,None,
CHEMBL550799,,0,471.32,0,2.20,Cc1cn(C[C@H]2CN(c3ccc(N4CCN(C(=O)C(Cl)Cl)CC4)c(F)c3)C(=O)O2)nn1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1059757,Antibacterial activity against Escherichia coli ATCC 25922 by agar dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1153012,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL576346,,0,444.61,1,5.02,CC(=O)OC[C@]12CCCC(C)(C)[C@@H]1CC[C@@]1(C)[C@@H]3CC=C4C(=O)O[C@@H](O)[C@@H]4[C@@]3(C)CC[C@@H]12,MIC,'>',100.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1042187,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by twofold dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1154134,1,Scientific Literature,J. Nat. Prod.,2008,None,
CHEMBL573138,,0,458.64,1,5.51,COC(=O)C1=CC[C@H]2[C@]3(C)CC[C@H]4C(C)(C)CCC[C@]4(COC(C)=O)[C@H]3CC[C@]2(C)[C@H]1C=O,MIC,'>',100.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1042187,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by twofold dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1154134,1,Scientific Literature,J. Nat. Prod.,2008,None,
CHEMBL503814,,0,221.29,0,1.08,NC(=S)N/N=C/CC(=O)c1ccccc1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL998964,Antimicrobial activity against Escherichia coli ATCC 25922 after 16 to 18 hrs by agar dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1137674,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL1241113,,0,355.50,0,3.93,Clc1ccccc1CN(CCBr)CCBr,MIC,'=',32.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1246427,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by micro-broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1240446,1,Scientific Literature,Eur. J. Med. Chem.,2010,None,
CHEMBL3331305,,0,482.49,0,3.09,NCC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3[C@@H]2C[C@@H]2F)C/C1=N/OCc1ccccc1,MIC,'=',0.06,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3385755,Antibacterial activity against Escherichia coli ATCC 25922 after 18 to 24 hrs by standard twofold serial dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3352227,1,Scientific Literature,Eur. J. Med. Chem.,2014,None,
CHEMBL1288855,,0,1782.34,None,None,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C23CC4CC(CC(C4)C2)C3)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C23CC4CC(CC(C4)C2)C3)NC(=O)[C@H](CCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCCN)NC1=O,MIC,'=',16.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1293162,Antimicrobial activity against Escherichia coli ATCC 25922 by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1287679,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,
CHEMBL1288848,,0,1900.34,None,None,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC1=O,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1293162,Antimicrobial activity against Escherichia coli ATCC 25922 by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1287679,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,
CHEMBL1242168,,0,423.30,0,3.81,Cc1nc([N+](=O)[O-])cn1CCN(CCn1ccnc1)Cc1ccc(Cl)cc1Cl,MIC,'=',16.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1246427,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by micro-broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1240446,1,Scientific Literature,Eur. J. Med. Chem.,2010,None,
CHEMBL472823,,0,314.79,1,5.61,Fc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,MIC,'=',25.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL977993,Antimicrobial activity against Escherichia coli ATCC 25922 by tube dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1138563,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL473410,,0,331.25,1,6.13,Clc1ccc(-c2nc3cc(Cl)ccc3n2C2CCCC2)cc1,MIC,'=',25.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL977993,Antimicrobial activity against Escherichia coli ATCC 25922 by tube dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1138563,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL8,CIPROFLOXACIN,4,331.35,0,1.58,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,MIC,'=',0.19,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL977993,Antimicrobial activity against Escherichia coli ATCC 25922 by tube dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1138563,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL1222562,,0,372.82,0,4.56,N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccc(Cl)cc1,MIC,'=',21.5,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1228046,Antimicrobial activity against Escherichia coli ATCC 25922 after 24 hrs by agar streak dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1221298,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL573498,,0,432.37,0,4.86,C=CCn1c(Cc2csc3nc(-c4ccc(Br)cc4)cn23)n[nH]c1=S,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1044149,Antibacterial activity against Escherichia coli ATCC 25922 after 16 to 20 hrs by microbroth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1154724,1,Scientific Literature,Eur. J. Med. Chem.,2010,None,
CHEMBL562266,,0,388.40,0,1.03,Cc1cn(C[C@H]2CN(c3ccc(N4CCN(C=O)CC4)c(F)c3)C(=O)O2)nn1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1059757,Antibacterial activity against Escherichia coli ATCC 25922 by agar dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1153012,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL552067,,0,402.43,0,1.42,CC(=O)N1CCN(c2ccc(N3C[C@H](Cn4cc(C)nn4)OC3=O)cc2F)CC1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1059757,Antibacterial activity against Escherichia coli ATCC 25922 by agar dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1153012,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL3605123,,0,565.65,1,3.84,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCCO)nc56)(CC3)OC4)nc2N1,MIC,'=',8.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3607538,Antimicrobial activity against Escherichia coli ATCC 25922 by micro broth dilution or agar based method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3603744,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,None,
CHEMBL4471867,,0,571.04,2,6.30,N#Cc1ccc(/C=C/c2nc3ccc(OCc4cn(-c5cccc(Cl)c5)nn4)cc3c(=O)n2Cc2ccccc2)cc1,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4395783,Antibacterial activity against Escherichia coli ATCC 25922 incubated for 16 to 18 hrs by broth microdilution assay,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4393707,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL1730,CEFOTAXIME,4,455.47,1,-0.62,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,MIC,'=',1.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1247073,Antibacterial activity against Escherichia coli ATCC 25922 expressing KPC beta lactamase,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1240385,1,Scientific Literature,Antimicrob. Agents Chemother.,2010,None,
CHEMBL4535159,,0,214.05,None,None,C[Si]1(C)OB(O)c2ccc(F)c(F)c21,MIC,'>',400.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4347893,Antibacterial activity against Escherichia coli ATCC 25922 measured after 18 hrs by CLSI broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4346672,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL3234392,,0,362.81,0,4.98,CCCc1cc(O)cc2c1Oc1cc(O)c(Cl)c(CCC)c1C(=O)O2,MIC,'>',128.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3242141,Antibacterial activity against Escherichia coli ATCC 25922 after 18 hrs by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3232998,1,Scientific Literature,J. Nat. Prod.,2014,None,
CHEMBL1771472,,0,368.42,0,2.05,CC(=S)NC[C@H]1CN(c2ccc(-c3nnc4ncccn34)cc2)C(=O)O1,MIC,'>',16.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1771814,Antibacterial activity against Escherichia coli ATCC 25922,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1770134,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,
CHEMBL3091758,,0,406.34,1,5.66,Cc1nc(SCC(=O)c2ccc(Cl)cc2)n(Nc2ccc(Cl)cc2)c1C,MIC,'=',800.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3095415,Antimicrobial activity against Escherichia coli ATCC 25922 after 24 hrs by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3091428,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL3092158,,0,283.41,0,4.23,CCCC1=NOC(CCCCCCCCC(=O)OC)C1,MIC,'=',100.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3095997,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by broth micro dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3091355,1,Scientific Literature,Eur. J. Med. Chem.,2013,None,
CHEMBL33,LEVOFLOXACIN,4,361.37,0,1.54,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,MIC,'=',0.12,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL2089747,Antibacterial activity against Escherichia coli ATCC 25922 by microbroth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL2086335,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,None,
CHEMBL567803,,0,431.44,0,3.29,C[C@H]1NCCn2cc(-c3ccc4c(c3OC(F)F)N(C3CC3)CC(C(=O)O)C4=O)cc21,MIC,'=',4.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1041027,Antibacterial activity against ciprofloxacin susceptible Escherichia coli ATCC 25922 by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1155341,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009,None,
CHEMBL571962,,0,602.73,2,1.64,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O)[C@H](N)[C@@H](OCc2ccc3ccccc3c2)[C@@H]1OCc1ccc2ccccc2c1,MIC,'=',32.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1046945,Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by geometric microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1156794,1,Scientific Literature,J. Med. Chem.,2010,None,
CHEMBL3086186,,0,296.29,0,3.05,O=[N+]([O-])c1c[nH]c(-c2nnc(C3(c4ccccc4)CC3)o2)c1,MIC,'=',1.56,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3089710,Antibacterial activity against Escherichia coli ATCC 25922 by two fold broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3085642,1,Scientific Literature,Eur. J. Med. Chem.,2013,None,
CHEMBL3098265,,0,300.32,0,2.05,Fc1ccc(/C=N/n2c(S)nnc2-c2cnccn2)cc1,MIC,'=',25.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3101519,Antimicrobial activity against Escherichia coli ATCC 25922 assessed as parasite growth inhibition after 24 hrs by two-fold serial broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3098096,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL540229,,0,1014.31,None,None,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O,MIC,'=',8.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL1059207,Antibacterial activity against Escherichia coli ATCC 25922 after 16 to 22 hrs by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL1153576,1,Scientific Literature,Eur. J. Med. Chem.,2009,None,
CHEMBL3086182,,0,262.25,0,2.70,O=[N+]([O-])c1c[nH]c(-c2nnc(-c3cccs3)o2)c1,MIC,'=',1.56,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3089710,Antibacterial activity against Escherichia coli ATCC 25922 by two fold broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3085642,1,Scientific Literature,Eur. J. Med. Chem.,2013,None,
CHEMBL2297694,,0,492.40,1,5.95,O=C(CSc1nc2ccccc2[nH]1)Nc1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1,MIC,'=',31.25,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3071763,Antibacterial activity against Escherichia coli ATCC 25922 assessed as growth inhibition by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3046776,1,Scientific Literature,Med Chem Res,2013,None,
